ITEM,FECHA,EVENTO,MUNICIPIO,Familias Damnificadas/ Afectadas,Viviendas Destruidas,Viviendas Averiadas,Acueducto destruidos,Vias Destruidas,Puentes Obstruidos,Establecimientos  Educativos,Afectacion Cultivos Has,Alertas,Albergues,Desaparecidos,Fallecidos,OBSERVACIONES
55,04/15/2023 12:00:00 AM,MOVIMIENTO EN MASA,EL CARMEN DE CHUCURI,0,0,0,0,2,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias que causaron deslizamientos y cierres de la vía hacia el municipio de San Vicente por desbordamiento de la quebrada el Consuelo  y hacia el  corregimiento de Yarima por deslizamientos y hacia de rocas, se coordina maquinaria amarilla del municipio para rehabilitar el paso"
56,04/16/2023 12:00:00 AM,CAIDA DE ROCAS,CEPITA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,El CMGRD reporta fuertes lluvias que causaron deslizamientos y cierres de la vía principal hacia Bucaramanga en el KM 9. Se coordina desplazar maquinaria del municipio para rehabilitar la vía
57,04/16/2023 12:00:00 AM,MOVIMIENTO EN MASA,ENCINO,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias que causaron deslizamientos y pérdida de bancada en el sector el Chamizal vereda Avendaño que causa  cierres de la vía hacia el municipio de Duitama en el departamento de Boyacá, maquinaria del municipio trabaja en la remoción de los escombros."
58,04/18/2023 12:00:00 AM,MOVIMIENTO EN MASA,GAMBITA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta cierre de la vía que comunica al municipio de Gambita con el departamento de Boyacá por deslizamientos a causa de las lluvias, se coordina envío de maquinaria amarilla para rehabilitar el paso."
59,04/18/2023 12:00:00 AM,VENDAVAL,AGUADA,8,0,8,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias con vientos ligeros que causan afectación en cubiertas y techos de varias viviendas en las veredas San Antonio y San Alberto, se realizan los EDAN,"
60,04/18/2023 12:00:00 AM,INUNDACIONES,MALAGA,4,0,4,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y el colapso de alcantarillados por saturación causan inundaciones en tres viviendas del barrio la Universidad, se adelantan los EDAN"
61,04/19/2023 12:00:00 AM,CRECIENTE SUBITA,CHARTA,10,0,5,0,3,1,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente súbita rio Charta y sus aportantes quebradas Montechiquito, La Batea, La Cristalina, La Rinconada, cierre total hacia Bucaramanga por perdida de la banca en 7 puntos en el sector Lagunillas, 1 puente afectado, El municipio de Charta se encuentra incomunicado con Bucaramanga ya que la vía alterna presenta deslizamientos, se coordina enviar maquinaria amarilla para retirar los escombros."
62,04/22/2023 12:00:00 AM,CRECIENTE SUBITA,CIMITARRA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente de la quebrada el Guayabo en el PR 16 que causa afectación a la vía nacional troncal del Carare, un vehículo quedó atrapado de medio de las aguas, se coordina maquinaria con el INVIAS para retirar los escombros."
63,04/25/2023 12:00:00 AM,MOVIMIENTO EN MASA,VETAS,8,0,4,0,1,2,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias en el páramo de Santurban que causaron creciente de la quebrada Moncora, 8 familias afectadas por el desbordamiento y cultivos de papa afectados, dos puentes peatonales destruidos, se realiza la Evaluación de Daños y Análisis de Necesidades."
64,04/29/2023 12:00:00 AM,AVENIDA TORRENCIAL,PIEDECUESTA,100,0,50,1,1,2,1,0,N/A,N/A,0,0,"El CMGRD reporta creciente súbita y desbordamiento de la quebrada el Manzano en el corregimiento Sevilla, causa inundaciones en 100 viviendas afectadas por lodos en muebles y enceres, dos puentes afectados, un colegio y la vía hacia Piedecuesta."
65,05/02/2023 12:00:00 AM,MOVIMIENTO EN MASA,MATANZA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta a causa de las lluvias se presenta movimiento en masa en el sector el Paujil que afecta la vía hacia las veredas Santa Cruz y el Paujil, se coordina envío de maquinaria amarilla para recuperar el paso"
66,05/07/2023 12:00:00 AM,INCENDIO FORESTAL,MOGOTES,0,0,0,0,0,0,0,5,N/A,N/A,0,0,"El Comandante de bomberos de Mogotes reporta la atención de un incendio forestal en la vereda las Flores, afectación de 5 hectáreas de bosque nativo y pastizales, se coordinó la respuesta con la comunidad y el CMGRD"
67,05/13/2023 12:00:00 AM,MOVIMIENTO EN MASA,EL CARMEN DE CHUCURI,3,1,2,1,3,0,1,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y creciente de las quebradas Los Venados, el Engaño y el Consuelo afectación: tres vías afectadas: via el 40, la Hojarasca y la Bodega, tres viviendas, un acueducto, una escuela también presentan afectaciones. Se coordina maquinaria amarilla del municipio para rehabilitar el paso en las zonas críticas."
68,05/16/2023 12:00:00 AM,CAIDA DE ROCAS,ZAPATOCA,0,0,0,0,0,0,0,0,N/A,N/A,0,1,"El CMGRD reporta un fallecido por caída de rocas mediaciones del puente Gómez Ortiz límites con Girón, vereda Chocoa, vía Zapatoca-Girón NOMBRE: Wilson Rueda Quintero CONCEJAL de Zapatoca  el cual nos relata que se dirigían de Girón para Zapatoca en el vehículo DAEWO de placas CSE-602 color vinotinto y  llegando al puente del río Sogamoso una piedra ingresa por la ventana derecha del copiloto generándole una contusión en el costado derecho del tórax a su padre. Fue trasladado al hospital Gestionar Bienestar Zapatoca, donde ingresa si signos vitales."
69,05/17/2023 12:00:00 AM,INUNDACIONES,CIMITARRA,30,2,28,0,1,0,1,0,N/A,N/A,0,0,"El CMGRD reporta  inundaciones por desbordamiento río San Juan en la vereda San Juan, 30 familias caracterizadas como damnificadas, se adelanta la Evaluación de Daños y Análisis de Necesidades."
